ema,entry,exit,full,is,oos
200,0.03,-0.01,0.5838317191031457,1.2344791146932446,-0.2911852660925056
200,0.03,-0.03,0.5987728053864465,1.2696481035663876,-0.2955856007483135
200,0.03,-0.05,0.6569761040295292,1.25188565952985,-0.2641828429355184
200,0.05,-0.01,0.44149988157162956,1.0469001506312843,-0.2957644362246704
200,0.05,-0.03,0.47731650171857076,1.0684713644808568,-0.2857931093044904
200,0.05,-0.05,0.5128607010914388,1.0437559926975326,-0.2597645186132864
250,0.0,-0.01,0.6775633844402673,1.4523487884060717,-0.31593605592676877
250,0.0,-0.03,0.7866647405518994,1.4637263088563732,-0.2748120056479635
250,0.0,-0.05,0.7856109796588027,1.3985633396636041,-0.25554979093892405
250,0.01,-0.01,0.6485246035815018,1.3920691543644925,-0.31083739758373763
250,0.01,-0.03,0.7533581159111864,1.387055397188755,-0.2654723815894162
250,0.01,-0.05,0.7497826622581341,1.3356361145963094,-0.2508325028359283
250,0.02,-0.01,0.6341039525040804,1.3220783360609518,-0.29627526895751244
250,0.02,-0.03,0.7741947896996839,1.3805981210955358,-0.25472729984210396
250,0.02,-0.05,0.7422627102091839,1.2642674244735996,-0.2305402218051925
250,0.03,-0.01,0.5776673170026363,1.2375290325106403,-0.2949064373782002
250,0.03,-0.03,0.7046910411880047,1.2793821578005087,-0.25212582920586357
250,0.03,-0.05,0.6705280141309979,1.1894753878642503,-0.2370190487683288
250,0.05,-0.01,0.5239995445214518,1.2549620442993032,-0.3241573407524859
250,0.05,-0.03,0.6275406981861766,1.2185358592977331,-0.2663897266454972
250,0.05,-0.05,0.5986093939821919,1.1546669116172819,-0.25807121956391676
300,0.0,-0.01,0.5787471050734672,1.420145190635174,-0.34766430081034916
300,0.0,-0.03,0.6866359034862182,1.5026156494186607,-0.32605076457585036
300,0.0,-0.05,0.7239883424130262,1.6006658754374334,-0.33709733391912544
300,0.01,-0.01,0.571177500310367,1.404125709477829,-0.34646616268180774
300,0.01,-0.03,0.6644830368412293,1.4125090116195742,-0.3100614220197989
300,0.01,-0.05,0.6742338274978128,1.5325422160530873,-0.3389117792843468
300,0.02,-0.01,0.53369294930799,1.3800415033457507,-0.355602435019727
300,0.02,-0.03,0.6878518488402623,1.4593566349236546,-0.3137018743551775
300,0.02,-0.05,0.7095224853629187,1.5778170991776785,-0.33683328972088245
300,0.03,-0.01,0.6411437206177997,1.3010932902070196,-0.28679826776160255
300,0.03,-0.03,0.8325240402240026,1.426672152525685,-0.24484070156872728
300,0.03,-0.05,0.8439442897655867,1.5363657905005925,-0.27299749244699656
300,0.05,-0.01,0.7174036798706009,1.3736018648240846,-0.27645671950216333
300,0.05,-0.03,0.8570954382977347,1.4817590777196639,-0.2517019661698565
300,0.05,-0.05,0.9083529364743066,1.630290344221887,-0.2744706147492434
